,job_title,company_name,company_rating,company_location,job_descriptions
38,"Data Architect - Raleigh, NC",IBM,3.9,N/A,"5+ years of experience working on data integration, data analytics, and/or data science projects."
39,Sr. Data QA Engineer - Remote or OnSite,Inmar,3.4,N/A,Collaborate with internal teams (e.g. developers and product managers) to identify system requirements.
40,Senior Customer Support Engineer,Celonis SE,N/A,N/A,"You will form the internal interface between our customers and our consulting, data science, development, product management and OEM partner."
41,Lead Software Developer,S&P Global,3.9,N/A,"We integrate financial and industry data, research and news into tools that help track performance, generate alpha, identify investment ideas, understand…"
42,SalesForce Developer,IQVIA,3.8,N/A,"12-15 years of experience in data modelling, data architecture in enterprise application with multiple databases or data lake."
43,Business Intelligence & Analytics Developer,North Carolina State University,4.2,N/A,"Coordinating with data engineers and systems analysts to build data environments providing data identified by data analysts, data integrators and subject matter…"
44,Lead Data Scientist,New Relic,3.3,N/A,Experience using data access tools and building visualizations using large datasets and multiple data sources.
45,"Manager, Cloud Application Developer",KPMG,4.0,N/A,"From applied AI to optimization to big data platform engineering, your analytical and technical skills will drive real impact in the business world."
46,Data Engineer,Labcorp,3.5,N/A,Healthcare experience is a big plus.
47,FinOps BI Developer/Analyst,Pearson,3.7,N/A,"Respond to ad hoc data queries requests from business units with timely, accurate, and reliable data presented in an easy-to-understand fashion providing input…"
48,Machine Learning Engineer,Bandwidth,3.9,N/A,"Collaborate with software developers, data platform engineers and data analysts to prototype, develop and deploy of machine learning models."
49,GIS Application Developer,AECOM,3.7,N/A,"The developer will participate in the design, coding, testing, debugging, documentation and deployment of new customized GIS software and will maintain and…"
50,IS Software Developer – Master Data,ABB,4.0,N/A,"As a IS Software Developer - Master Data, you will be responsible for executing assigned software development activities in a specialized area, focused on…"
51,Business Developer Manager – AI Partners & Solutions,Lenovo,3.9,N/A,"Some Subject Matter Expertise regarding ML & DL models, frameworks, data science workflow, data pipelines, IoT devices & platforms, real-time analytics, Big…"
52,"Sr. Director, Data, Integrated Insights and DSSR Architecture",IQVIA,3.8,N/A,"A minimum of 5 years as a commercial software data architecture, in a lead capacity;"
53,Software Development Engineer in Test,Metabolon,3.5,N/A,"You will be working on tools and infrastructure challenges involving big data, machine learning, and large scale back-end web services, all with the goal of…"
54,"Software Developer, Cloud Technologies - Raleigh, NC",IBM,3.9,N/A,Solve big data and distributed data streaming problems using latest technologies.
55,Security Engineer,Epic Games,3.8,N/A,"Experience working with big data analytics to solve, prevent, or monitor for problems."
56,Software Development Engineer,Piper Companies,4.5,N/A,The Software Development Engineer will be working to drive the growth of a big data biochemistry organization.
57,Salesforce Administrator,Abrigo,3.0,N/A,Attention to detail and commitment to data quality.
58,Senior Mobile Applications Developer,AURA TECHNOLOGIES LLC.,N/A,N/A,This is a technical lead and hands-on development role; you will be responsible for the implementation of mobile (Android and/or iOS) applications that comprise…
59,IT Architect Intern (Summer 2021),IQVIA,3.8,N/A,"Provides guidance to the technical team on data mapping, and design practices to ensure proper data sourcing to the target data models."
60,Data Scientist,Infinia ML,N/A,N/A,"3+ years experience in machine learning, data science, data engineering, and/or computational software development."
61,Intern-Solution Engineer,Celonis SE,N/A,N/A,All rely on Celonis technology to unlock their full execution capacity and drive change to business processes.
62,Experienced Data Scientist,Itron,3.8,N/A,Responsible for completing predictive data analysis.
63,Data Engineer,IBM,3.9,N/A,Perform data analysis to validate data quality.
64,Test Data Management Delphix Architect,TCS,3.8,N/A,"Works directly with delivery partners and others to gather requirements, conduct data analysis, develop test data designs, and build test data solutions."
65,Senior Customer Support Engineer,Celonis,N/A,N/A,"You will form the internal interface between our customers and our consulting, data science, development, product management and OEM partner."
66,Data Architect,Random Bit,N/A,N/A,Transactional data store data modelling design using relational and document data patterns.
67,Staff Data Engineer,BitSight,N/A,N/A,"Collaborating with data science and research teams, you will build trust with Bitsight customers in the quality and integrity of our data."
68,"Data Architect - Raleigh, NC",IBM,3.9,N/A,"5+ years of experience working on data integration, data analytics, and/or data science projects."
69,Sr. Data QA Engineer - Remote or OnSite,Inmar,3.4,N/A,Collaborate with internal teams (e.g. developers and product managers) to identify system requirements.
70,Senior Customer Support Engineer,Celonis SE,N/A,N/A,"You will form the internal interface between our customers and our consulting, data science, development, product management and OEM partner."
71,Lead Software Developer,S&P Global,3.9,N/A,"We integrate financial and industry data, research and news into tools that help track performance, generate alpha, identify investment ideas, understand…"
72,SalesForce Developer,IQVIA,3.8,N/A,"12-15 years of experience in data modelling, data architecture in enterprise application with multiple databases or data lake."
73,Business Intelligence & Analytics Developer,North Carolina State University,4.2,N/A,"Coordinating with data engineers and systems analysts to build data environments providing data identified by data analysts, data integrators and subject matter…"
74,Lead Data Scientist,New Relic,3.3,N/A,Experience using data access tools and building visualizations using large datasets and multiple data sources.
75,FinOps BI Developer/Analyst,Pearson,3.7,N/A,"Respond to ad hoc data queries requests from business units with timely, accurate, and reliable data presented in an easy-to-understand fashion providing input…"
76,Machine Learning Engineer,Bandwidth,3.9,N/A,"Collaborate with software developers, data platform engineers and data analysts to prototype, develop and deploy of machine learning models."
77,GIS Application Developer,AECOM,3.7,N/A,"The developer will participate in the design, coding, testing, debugging, documentation and deployment of new customized GIS software and will maintain and…"
78,Business Developer Manager – AI Partners & Solutions,Lenovo,3.9,N/A,"Some Subject Matter Expertise regarding ML & DL models, frameworks, data science workflow, data pipelines, IoT devices & platforms, real-time analytics, Big…"
79,Software Development Engineer in Test,Metabolon,3.5,N/A,"You will be working on tools and infrastructure challenges involving big data, machine learning, and large scale back-end web services, all with the goal of…"
80,"Software Developer, Cloud Technologies - Raleigh, NC",IBM,3.9,N/A,Solve big data and distributed data streaming problems using latest technologies.
81,Security Engineer,Epic Games,3.8,N/A,"Experience working with big data analytics to solve, prevent, or monitor for problems."
82,Software Development Engineer,Piper Companies,4.5,N/A,The Software Development Engineer will be working to drive the growth of a big data biochemistry organization.
83,Salesforce Administrator,Abrigo,3.0,N/A,Attention to detail and commitment to data quality.
84,Senior Mobile Applications Developer,AURA TECHNOLOGIES LLC.,N/A,N/A,This is a technical lead and hands-on development role; you will be responsible for the implementation of mobile (Android and/or iOS) applications that comprise…
85,IT Architect Intern (Summer 2021),IQVIA,3.8,N/A,"Provides guidance to the technical team on data mapping, and design practices to ensure proper data sourcing to the target data models."
86,Technical Architect,Credit Suisse,3.9,N/A,"Consulting and mentor developers in technical design, development standards & standard practices."
87,Senior Customer Success Manager,New Relic,3.3,N/A,"We provide competitive compensation, equity, and big-company benefits (medical, dental, etc.)—all while maintaining the energy, agility, and fun of a start-up."
88,Lead Embedded Software Developer,Eaton,3.8,N/A,"In doing so we are on the forefront of using the latest technologies, tools and methods."
89,"Full Stack Developer - Raleigh, North Carolina",IBM,3.9,N/A,Define necessary data models and schemas for the applications you support.
90,Experienced Data Scientist,Itron,3.8,N/A,Responsible for completing predictive data analysis.
91,Test Data Management Delphix Architect,TCS,3.8,N/A,"Works directly with delivery partners and others to gather requirements, conduct data analysis, develop test data designs, and build test data solutions."
92,HCS IT Data & Interoperative Developer - Epic Clarity Reporting - IT Analytics,UNC Health,3.9,N/A,The developer will support reporting for inpatient and hospital quality from Epic EHR.
93,Data Engineer,IBM,3.9,N/A,Perform data analysis to validate data quality.
94,Intern-Solution Engineer,Celonis SE,N/A,N/A,All rely on Celonis technology to unlock their full execution capacity and drive change to business processes.
95,Data Scientist,Infinia ML,N/A,N/A,"3+ years experience in machine learning, data science, data engineering, and/or computational software development."
96,Senior Customer Support Engineer,Celonis,N/A,N/A,"You will form the internal interface between our customers and our consulting, data science, development, product management and OEM partner."
97,Staff Data Engineer,BitSight,N/A,N/A,"Collaborating with data science and research teams, you will build trust with Bitsight customers in the quality and integrity of our data."
98,Data Architect,Random Bit,N/A,N/A,Transactional data store data modelling design using relational and document data patterns.
99,CX Renewals - Data Analysis Manager,Cisco Systems,4.1,N/A,"5+ years experience with Tableau as a developer of data visualizations (preferably for dashboards), utilizing multiple integrated data sources."
100,Senior Customer Support Engineer,Celonis SE,N/A,N/A,"You will form the internal interface between our customers and our consulting, data science, development, product management and OEM partner."
101,SalesForce Developer,IQVIA,3.8,N/A,"12-15 years of experience in data modelling, data architecture in enterprise application with multiple databases or data lake."
102,Business Intelligence & Analytics Developer,North Carolina State University,4.2,N/A,"Coordinating with data engineers and systems analysts to build data environments providing data identified by data analysts, data integrators and subject matter…"
103,UX Data Analyst,Lenovo,3.9,N/A,Interface with industry partners and internal teams to share data and encourage positive usage of opt-in telemetry data to improve user experiences.
104,Lead Software Developer,S&P Global,3.9,N/A,"We integrate financial and industry data, research and news into tools that help track performance, generate alpha, identify investment ideas, understand…"
105,Data Engineer,Labcorp,3.5,N/A,Healthcare experience is a big plus.
106,FinOps BI Developer/Analyst,Pearson,3.7,N/A,"Respond to ad hoc data queries requests from business units with timely, accurate, and reliable data presented in an easy-to-understand fashion providing input…"
107,Machine Learning Engineer,Bandwidth,3.9,N/A,"Collaborate with software developers, data platform engineers and data analysts to prototype, develop and deploy of machine learning models."
108,GIS Application Developer,AECOM,3.7,N/A,"The developer will participate in the design, coding, testing, debugging, documentation and deployment of new customized GIS software and will maintain and…"
109,IS Software Developer – Master Data,ABB,4.0,N/A,"As a IS Software Developer - Master Data, you will be responsible for executing assigned software development activities in a specialized area, focused on…"
110,Business Developer Manager – AI Partners & Solutions,Lenovo,3.9,N/A,"Some Subject Matter Expertise regarding ML & DL models, frameworks, data science workflow, data pipelines, IoT devices & platforms, real-time analytics, Big…"
111,"Sr. Director, Data, Integrated Insights and DSSR Architecture",IQVIA,3.8,N/A,"A minimum of 5 years as a commercial software data architecture, in a lead capacity;"
112,Web Designer/ Front-End Developer,CData Software,3.7,N/A,"CData sells data connectivity directly to thousands of enterprise customers, as well as indirectly through OEM partnerships with most of the leading data…"
113,Software Development Engineer in Test,Metabolon,3.5,N/A,"You will be working on tools and infrastructure challenges involving big data, machine learning, and large scale back-end web services, all with the goal of…"
114,"Software Developer, Cloud Technologies - Raleigh, NC",IBM,3.9,N/A,Solve big data and distributed data streaming problems using latest technologies.
115,Security Engineer,Epic Games,3.8,N/A,"Experience working with big data analytics to solve, prevent, or monitor for problems."
116,Software Development Engineer,Piper Companies,4.5,N/A,The Software Development Engineer will be working to drive the growth of a big data biochemistry organization.
117,Salesforce Administrator,Abrigo,3.0,N/A,Attention to detail and commitment to data quality.
118,Senior Mobile Applications Developer,AURA TECHNOLOGIES LLC.,N/A,N/A,This is a technical lead and hands-on development role; you will be responsible for the implementation of mobile (Android and/or iOS) applications that comprise…
119,IT Architect Intern (Summer 2021),IQVIA,3.8,N/A,"Provides guidance to the technical team on data mapping, and design practices to ensure proper data sourcing to the target data models."
120,Data Scientist,Infinia ML,N/A,N/A,"3+ years experience in machine learning, data science, data engineering, and/or computational software development."
121,Intern-Solution Engineer,Celonis SE,N/A,N/A,All rely on Celonis technology to unlock their full execution capacity and drive change to business processes.
122,Experienced Data Scientist,Itron,3.8,N/A,Responsible for completing predictive data analysis.
123,Data Engineer,IBM,3.9,N/A,Perform data analysis to validate data quality.
124,Test Data Management Delphix Architect,TCS,3.8,N/A,"Works directly with delivery partners and others to gather requirements, conduct data analysis, develop test data designs, and build test data solutions."
125,Senior Customer Support Engineer,Celonis,N/A,N/A,"You will form the internal interface between our customers and our consulting, data science, development, product management and OEM partner."
126,Data Architect,Random Bit,N/A,N/A,Transactional data store data modelling design using relational and document data patterns.
127,Staff Data Engineer,BitSight,N/A,N/A,"Collaborating with data science and research teams, you will build trust with Bitsight customers in the quality and integrity of our data."
128,"Data Architect - Raleigh, NC",IBM,3.9,N/A,"5+ years of experience working on data integration, data analytics, and/or data science projects."
129,Sr. Data QA Engineer - Remote or OnSite,Inmar,3.4,N/A,Collaborate with internal teams (e.g. developers and product managers) to identify system requirements.
130,Senior Customer Support Engineer,Celonis SE,N/A,N/A,"You will form the internal interface between our customers and our consulting, data science, development, product management and OEM partner."
131,Lead Software Developer,S&P Global,3.9,N/A,"We integrate financial and industry data, research and news into tools that help track performance, generate alpha, identify investment ideas, understand…"
132,SalesForce Developer,IQVIA,3.8,N/A,"12-15 years of experience in data modelling, data architecture in enterprise application with multiple databases or data lake."
133,Business Intelligence & Analytics Developer,North Carolina State University,4.2,N/A,"Coordinating with data engineers and systems analysts to build data environments providing data identified by data analysts, data integrators and subject matter…"
134,Lead Data Scientist,New Relic,3.3,N/A,Experience using data access tools and building visualizations using large datasets and multiple data sources.
135,Test Data Management Delphix Architect,TCS,3.8,N/A,"Works directly with delivery partners and others to gather requirements, conduct data analysis, develop test data designs, and build test data solutions."
136,HCS IT Data & Interoperative Developer - Epic Clarity Reporting - IT Analytics,UNC Health,3.9,N/A,The developer will support reporting for inpatient and hospital quality from Epic EHR.
137,Data Engineer,IBM,3.9,N/A,Perform data analysis to validate data quality.
138,Intern-Solution Engineer,Celonis SE,N/A,N/A,All rely on Celonis technology to unlock their full execution capacity and drive change to business processes.
139,Data Scientist,Infinia ML,N/A,N/A,"3+ years experience in machine learning, data science, data engineering, and/or computational software development."
140,Senior Customer Support Engineer,Celonis,N/A,N/A,"You will form the internal interface between our customers and our consulting, data science, development, product management and OEM partner."
141,Staff Data Engineer,BitSight,N/A,N/A,"Collaborating with data science and research teams, you will build trust with Bitsight customers in the quality and integrity of our data."
142,BSA / Data Analyst,Ultimate Staffing Services,3.8,"Raleigh, NC 27513","Interact and coordinate with system developers and business subject matter experts on application changes, development, and deployment."
143,Data Architect,Random Bit,N/A,N/A,Transactional data store data modelling design using relational and document data patterns.
144,CX Renewals - Data Analysis Manager,Cisco Systems,4.1,N/A,"5+ years experience with Tableau as a developer of data visualizations (preferably for dashboards), utilizing multiple integrated data sources."
145,Senior Customer Support Engineer,Celonis SE,N/A,N/A,"You will form the internal interface between our customers and our consulting, data science, development, product management and OEM partner."
146,SalesForce Developer,IQVIA,3.8,N/A,"12-15 years of experience in data modelling, data architecture in enterprise application with multiple databases or data lake."
147,Business Intelligence & Analytics Developer,North Carolina State University,4.2,N/A,"Coordinating with data engineers and systems analysts to build data environments providing data identified by data analysts, data integrators and subject matter…"
148,UX Data Analyst,Lenovo,3.9,N/A,Interface with industry partners and internal teams to share data and encourage positive usage of opt-in telemetry data to improve user experiences.
149,Lead Software Developer,S&P Global,3.9,N/A,"We integrate financial and industry data, research and news into tools that help track performance, generate alpha, identify investment ideas, understand…"
150,Data Engineer,Labcorp,3.5,N/A,Healthcare experience is a big plus.
151,Machine Learning Engineer,Bandwidth,3.9,N/A,"Collaborate with software developers, data platform engineers and data analysts to prototype, develop and deploy of machine learning models."
152,GIS Application Developer,AECOM,3.7,N/A,"The developer will participate in the design, coding, testing, debugging, documentation and deployment of new customized GIS software and will maintain and…"
153,"Software Developer, Cloud Technologies - Raleigh, NC",IBM,3.9,N/A,Solve big data and distributed data streaming problems using latest technologies.
154,Software Development Engineer in Test,Metabolon,3.5,N/A,"You will be working on tools and infrastructure challenges involving big data, machine learning, and large scale back-end web services, all with the goal of…"
155,Security Engineer,Epic Games,3.8,N/A,"Experience working with big data analytics to solve, prevent, or monitor for problems."
156,Business Developer Manager – AI Partners & Solutions,Lenovo,3.9,N/A,"Some Subject Matter Expertise regarding ML & DL models, frameworks, data science workflow, data pipelines, IoT devices & platforms, real-time analytics, Big…"
157,Salesforce Administrator,Abrigo,3.0,N/A,Attention to detail and commitment to data quality.
158,IT Architect Intern (Summer 2021),IQVIA,3.8,N/A,"Provides guidance to the technical team on data mapping, and design practices to ensure proper data sourcing to the target data models."
159,Software Development Engineer,Piper Companies,4.5,N/A,The Software Development Engineer will be working to drive the growth of a big data biochemistry organization.
160,Senior Mobile Applications Developer,AURA TECHNOLOGIES LLC.,N/A,N/A,This is a technical lead and hands-on development role; you will be responsible for the implementation of mobile (Android and/or iOS) applications that comprise…
161,Technical Architect,Credit Suisse,3.9,N/A,"Consulting and mentor developers in technical design, development standards & standard practices."
162,Senior Customer Success Manager,New Relic,3.3,N/A,"We provide competitive compensation, equity, and big-company benefits (medical, dental, etc.)—all while maintaining the energy, agility, and fun of a start-up."
163,Business Intelligence Web GUI Developer,Credit Suisse,3.9,N/A,"You will help build information-rich, insightful and appealing data visualizations and user interfaces for a wide variety of data products, following the latest…"
164,Spark Scala Developer,Deloitte,4.0,N/A,"Experience on data lakes, datahub implementation."
165,Jr. Big Data Developer,Enhance IT,3.1,United States,"Demonstrated ability to build processes that support data transformation, data structures, metadata, dependency and workload management."
166,Big Data Developer (Azure) - Deloitte - (Remote / Contract),Experfy,N/A,"Boston, MA",Design big data batch processing and interactive solutions.
167,"Data Scientists - Boston healthcare analytics startup PYTHON, R, Linux",The Bivium Group,N/A,"Boston, MA",We are hiring all levels of experience from super sharp recent grads (with at least 2 strong data science oriented internships/co-ops completed) to a Principal…
168,"Manager of Software, Director of Software, Star Engineers - ecommerce, scaling, big data - UNICORN p",The Bivium Group,N/A,"Boston, MA","You should have experience in some mix of e-commerce, big data, mobile, or devops and have dealt regularly with MASSIVE SCALE ISSUES (livesite, e-commerce,…"
169,"Spark and Scala Software Engineers, Junior to Director level - Boston big data",The Bivium Group,N/A,"Boston, MA","MUST HAVE Spark/Scala production experience AND have worked on big data, ai, nlp or healthcare analytics."
170,Spark Scala Big Data Software Engineers - junior to Director - deep pockets,The Bivium Group,N/A,Massachusetts,"MUST HAVE Spark/Scala production experience AND have worked on big data, ai, nlp or healthcare analytics."
171,Junior Data Analyst / Entry Level / Training,CCS Global Tech,N/A,N/A,"Ø Design, develop and maintain database, BI and data visualization applications per business needs."
172,Data Scientist II,Homesite Insurance,3.2,N/A,Work with fellow data scientists and developer teams to translate models to business solutions and collaborate with other departments in the company when…
173,Big Data Developer,Atos,3.5,N/A,"Strong understanding of the internals of Spark and Hadoop e.g. Data Frame, DAG, data partition and distribution, named node limitations, and tuning."
174,Sr. Big Data Developer,IQVIA,3.8,N/A,Investigate data processing issues and make recommendations to resolve.
175,Big Data Sr. Software Developer,AIR,3.4,N/A,Good knowledge of AWS data platform like Aurora/Redshift/RDS.
176,Data Scientist,REsurety,N/A,N/A,Write efficient code to analyze decades of time series data.
177,Data Analyst,Housing Partnership Network,N/A,N/A,Ensures data integrity and accuracy.
178,"Sr. Software Application Developer, Big Data",PlaceIQ,3.9,N/A,"We love building regression models, classification algorithms, data visualizations, and geo-spatial clustering, within our location-data platform, which…"
179,Data Scientist,Flipside Crypto,N/A,N/A,"Experience working with product teams, developers, and data engineers is a plus."
180,Software Developer Co-op,"Healthcare Financial, Inc.",N/A,N/A,Process data and developing web applications and reporting tools supporting HFI’s new business initiatives and the speed or sudden variations in data collection…
181,"AML Technology: Application Developer - Big Data, AVP",State Street,3.5,N/A,"Be responsible for Data Engineering using Hadoop, Spark, Scala and associated big data technologies."
182,QA Tester (Co-op),Retail Business Services,4.0,N/A,➔ Ability to write SQL queries to create test data and verify test results.
183,"Associate, Cloud Application Developer",KPMG,4.0,N/A,"From applied AI to optimization to big data platform engineering, your analytical and technical skills will drive real impact in the business world."
184,"VP Product Management, Effectv",Comcast,3.7,N/A,"You have a successful history of shipping innovative products on time with demonstrated analytical and quantitative skills, ability to use hard data and metrics…"
185,Talend Big Data Architect,Cervello Inc,N/A,N/A,Experience with big data cross platform compatible file formats like Apache Avro & Apache Parquet.
186,Junior Full Stack Developer,Mathematica Policy Research,3.8,N/A,"We collaborate closely with public- and private-sector partners to translate big questions into deep insights that improve programs, refine strategies, and…"
187,Microsoft ETL Developer,"W.B. Mason Company, Inc",2.8,N/A,Demonstrated knowledge of database structures and data architecture.
188,Product Owner,BlueConic,N/A,N/A,"BlueConic is the market-leading customer data platform, which gives marketers the power to liberate their data and use it to improve marketing outcomes."
189,"Project Manager / Business Manager, Data Science & Advanced Analytics",MassMutual,3.7,N/A,Manipulation of large data sets.
190,ETL Developer,Healthedge,3.4,N/A,3-5 years of experience with big data technologies.
191,Software Development Engineer (React Developer),Alldus,N/A,N/A,They use a combination of Machine Learning methods and Data Science to assist with their Drug Discovery process.
192,Senior Middleware Developer,ACESTACK LLC,N/A,N/A,"Skills to communicate and collaborate with other teams to integrate with REST web services, frontend applications and data models."
193,Lead Full Stack Developer,Mathematica Policy Research,3.8,N/A,Conduct code reviews with developers through pull requests.
194,Data Transformation Analyst,Centric Consulting,4.2,N/A,Interact with business stakeholders to determine how to handle data quality and data governance concerns.
195,"AML Technology: Application Developer - Big Data, AVP",State Street,3.5,N/A,"Be responsible for Data Engineering using Hadoop, Spark, Scala and associated big data technologies."
196,Junior Full Stack Developer,Mathematica Policy Research,3.8,N/A,"We collaborate closely with public- and private-sector partners to translate big questions into deep insights that improve programs, refine strategies, and…"
197,"VP Product Management, Effectv",Comcast,3.7,N/A,"You have a successful history of shipping innovative products on time with demonstrated analytical and quantitative skills, ability to use hard data and metrics…"
198,"Associate, Cloud Application Developer",KPMG,4.0,N/A,"From applied AI to optimization to big data platform engineering, your analytical and technical skills will drive real impact in the business world."
199,Data Architecture Consultant,Accenture,4.0,N/A,Ensure test data conforms to data security requirements.
200,Lead Full Stack Developer,Mathematica Policy Research,3.8,N/A,Conduct code reviews with developers through pull requests.
201,Software Developer Co-op,"Healthcare Financial, Inc.",N/A,N/A,Process data and developing web applications and reporting tools supporting HFI’s new business initiatives and the speed or sudden variations in data collection…
202,"Vice President, IT & Informatics",EdenRoc Sciences,N/A,N/A,Create a comprehensive roadmap for the overall cyber-security and data privacy capabilities with a strategy of “data privacy by design”.
203,Software Developer Co-op,HFI-Healthcare Financial,N/A,N/A,Process data and developing web applications and reporting tools supporting HFI’s new business initiatives and the speed or sudden variations in data collection…
204,"Email Developer, Global CRM","Sonos, Inc",3.9,N/A,"Create send definitions, data extensions, send interactions and filters."
205,"Project Manager / Business Manager, Data Science & Advanced Analytics",MassMutual,3.7,N/A,Manipulation of large data sets.
206,Talend Big Data Architect,Cervello Inc,N/A,N/A,Experience with big data cross platform compatible file formats like Apache Avro & Apache Parquet.
207,Product Owner,BlueConic,N/A,N/A,"BlueConic is the market-leading customer data platform, which gives marketers the power to liberate their data and use it to improve marketing outcomes."
208,Software Development Programmer,Karen Clark & Company,N/A,N/A,Opportunity to develop domain expertise in insurance and big data.
209,Software Engineer,Red Hat Software,4.0,N/A,Design and implement disaster recovery processes for big data.
210,"Data Engineer (EDW, Data Analytics Office)",Mass General Brigham(PHS),3.9,N/A,"Familiarity with data engineering, data governance and data quality principles."
211,Data Engineer,"Commonwealth Equity Services, Inc.",N/A,N/A,Fulfilling data requests when the data elements are not yet built in the data warehouse.
212,Data Architect,Uplight,4.3,N/A,"Your primary focus will be the creation of a new unified data model that facilitates access and interaction with energy, smart home, and 3rd party data."
213,"AML Technology: Application Developer - Big Data, AVP",State Street,3.5,N/A,"Be responsible for Data Engineering using Hadoop, Spark, Scala and associated big data technologies."
214,Software Developer Co-op,HFI-Healthcare Financial,N/A,N/A,Process data and developing web applications and reporting tools supporting HFI’s new business initiatives and the speed or sudden variations in data collection…
215,Data Analyst,The Community Builders,3.2,N/A,"Data management for various Community Life data sources utilizing R and R studio software (e.g. data cleaning, data analysis, and quality assurance)."
